City,Car Name,Price,Year,Mileage,Fuel Type,Transmission,Car URL
Bangalore,2022 Hyundai Venue SX Turbo iMT,"₹9.58 Lakh
Compare","19,859 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Hyundai-venue-sx-turbo-imt-cars-Bangalore_2fd3e7b5-8238-464f-8783-dd8a89c58116.htm
Bangalore,2014 Mercedes-Benz S-Class 320 CDI L,"₹32 Lakh
Compare","65,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/buy-used-car-details/used-Mercedes-benz-s-class-320-cdi-l-cars-Bangalore_e96c08e1-53c9-4c7e-8a7f-3396155d7f81.htm?adId=3441&adType=41
Bangalore,2021 Honda Jazz ZX,"₹8.47 Lakh
Compare","53,106 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Honda-jazz-zx-cars-Bangalore_af210549-c61b-4d3f-a39b-1a3aa090a97d.htm
Bangalore,2019 Hyundai Santro Magna Corp Edition,"₹4.02 Lakh
Compare","48,659 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Hyundai-santro-magna-corp-edition-cars-Bangalore_5fba2c2b-9d4e-4d01-b78a-62e35946d155.htm
Bangalore,2018 Renault KWID Climber 1.0 MT,"₹3.60 Lakh
Compare","36,471 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Renault-kwid-climber-10-mt-cars-Bangalore_6e63df40-e000-4a65-bfb9-a7a5cc36971e.htm
Bangalore,2019 Hyundai Tucson 2.0 e-VGT 2WD AT GL Opt,"₹16.90 Lakh
Compare","69,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Hyundai-tucson-20-e-vgt-2wd-at-gl-opt-cars-Bangalore_634f0416-34bc-4cd0-8e40-248a27d3c55c.htm?adId=3485&adType=41
Bangalore,2012 Volkswagen Polo Cup Edition Comfortline,"₹3.10 Lakh
Compare","95,966 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Volkswagen-polo-cup-edition-comfortline-cars-Bangalore_0683003f-fc43-4470-8946-af9e13a96ee8.htm
Bangalore,2015 Hyundai i20 Sportz 1.2,"₹5.32 Lakh
Compare","76,435 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Hyundai-i20-sportz-12-cars-Bangalore_747f08e6-1e32-46c0-a941-32d72310f4cf.htm
Bangalore,2017 Honda Jazz V,"₹5.45 Lakh
Compare","62,054 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Honda-jazz-v-cars-Bangalore_1c87b53a-bfc5-4618-b902-6f883554dc71.htm
Bangalore,2016 BMW X3 xDrive 20d xLine,"₹23.90 Lakh
Compare","92,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Bmw-x3-xdrive-20d-xline-cars-Bangalore_603f1e5b-eb54-4eae-9b6a-fb612d66918c.htm?adId=10&adType=41
Bangalore,2018 Maruti Ciaz Petrol,"₹7.12 Lakh
Compare","45,009 kms",Diesel,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Maruti-ciaz-petrol-cars-Bangalore_31e9f971-c8b7-4e8e-a9b2-e908e9b2da39.htm
Bangalore,2018 Hyundai i20 1.2 Asta Dual Tone,"₹5.76 Lakh
Compare","64,627 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Hyundai-i20-12-asta-dual-tone-cars-Bangalore_ed4cd220-8b4f-40e8-8a4a-0d7c2068d341.htm
Bangalore,2021 Maruti Wagon R ZXI 1.2,"₹5.80 Lakh
Compare","41,545 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Maruti-wagon-r-zxi-12-cars-Bangalore_f59d3d4f-7421-4d31-af02-d89e9a75cbe1.htm
Bangalore,2017 Audi Q7 45 TDI Quattro Premium Plus,"₹35.95 Lakh
Compare","1,44,451 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Audi-q7-45-tdi-quattro-premium-plus-cars-Bangalore_f493afc0-67e1-4750-bb85-d0f065c737da.htm?adId=3660&adType=41
Bangalore,2018 Maruti Ciaz Petrol,"₹7.68 Lakh
Compare","61,774 kms",Diesel,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Maruti-ciaz-petrol-cars-Bangalore_ad6768fc-7426-4b72-af0e-9871b37a2021.htm
Bangalore,2020 Hyundai Creta SX Opt Turbo DCT,"₹12.91 Lakh
Compare","1,00,501 kms",Petrol,Automatic,N/A,https://www.cardekho.com/buy-used-car-details/used-Hyundai-creta-sx-opt-turbo-dct-cars-Bangalore_48882cd8-0e4c-4e4e-bbfe-1df7ad1ba554.htm
Bangalore,2017 Skoda Superb Petrol Ambition,"₹5.89 Lakh
Compare","39,304 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Skoda-superb-petrol-ambition-cars-Bangalore_3e2f4602-3857-473a-86b5-c6e7b6d9523e.htm
Bangalore,2018 Volvo XC60 D4 Momentum,"₹37.50 Lakh
Compare","60,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Volvo-xc60-d4-momentum-cars-Bangalore_80786ef0-aeea-4cd8-bd46-ec1bb10e3cb3.htm?adId=3923&adType=41
Bangalore,2019 Kia Seltos HTX G,"₹10.05 Lakh
Compare","49,528 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Kia-seltos-htx-g-cars-Bangalore_bfcf7b56-b85e-4bd8-a583-82b1e7781fd2.htm
Bangalore,2017 Maruti Baleno 1.2 Delta,"₹5.23 Lakh
Compare","52,426 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Maruti-baleno-12-delta-cars-Bangalore_955f2c2d-c0f2-4c5a-8781-9522d575a3ef.htm
Bangalore,2015 Honda City Edge Edition Diesel SV,"₹5.10 Lakh
Compare","93,286 kms",Diesel,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Honda-city-edge-edition-diesel-sv-cars-Bangalore_db461d3d-aa30-4098-89a2-4065baa97941.htm
Bangalore,2016 Mercedes-Benz C-Class C 220 CDI Avantgarde,"₹18.50 Lakh
Compare","88,000 kms",Diesel,Automatic,N/A,https://www.cardekho.com/used-car-details/used-Mercedes-benz-c-class-c-220-cdi-avantgarde-cars-Bangalore_a611b0ff-1f97-4adf-9822-fc91cc9deff5.htm?adId=3927&adType=41
Bangalore,2018 Maruti Dzire ZXI,"₹6.53 Lakh
Compare","45,357 kms",Petrol,Manual,N/A,https://www.cardekho.com/buy-used-car-details/used-Maruti-dzire-zxi-cars-Bangalore_a99bcbd8-efea-4b8c-810e-ffbfdca27cbe.htm
